place,order,name,gender,vote,per,party,number,vote_place
臺北市,1,宋楚瑜余湘,男女,70769,0.04335132466294588,親民黨  推薦,1,1632453
臺北市,2,韓國瑜張善政,男男,685830,0.42012235574316686,中國國民黨  推薦,2,1632453
臺北市,3,蔡英文賴清德,女男,875854,0.5365263195938872,民主進步黨  推薦,3,1632453
新北市,1,宋楚瑜余湘,男女,112620,0.045665636871818724,親民黨  推薦,1,2466187
新北市,2,韓國瑜張善政,男男,959631,0.3891152617380596,中國國民黨  推薦,2,2466187
新北市,3,蔡英文賴清德,女男,1393936,0.5652191013901217,民主進步黨  推薦,3,2466187
桃園市,1,宋楚瑜余湘,男女,63067,0.04814620285730426,親民黨  推薦,1,1309906
桃園市,2,韓國瑜張善政,男男,529113,0.4039320378714198,中國國民黨  推薦,2,1309906
桃園市,3,蔡英文賴清德,女男,717726,0.547921759271276,民主進步黨  推薦,3,1309906
臺中市,1,宋楚瑜余湘,男女,84800,0.04992728749992641,親民黨  推薦,1,1698470
臺中市,2,韓國瑜張善政,男男,646366,0.3805577961341678,中國國民黨  推薦,2,1698470
臺中市,3,蔡英文賴清德,女男,967304,0.5695149163659058,民主進步黨  推薦,3,1698470
臺南市,1,宋楚瑜余湘,男女,41075,0.03519096506777313,親民黨  推薦,1,1167203
臺南市,2,韓國瑜張善政,男男,339702,0.2910393479112031,中國國民黨  推薦,2,1167203
臺南市,3,蔡英文賴清德,女男,786426,0.6737696870210238,民主進步黨  推薦,3,1167203
高雄市,1,宋楚瑜余湘,男女,55309,0.03135740146703813,親民黨  推薦,1,1763826
高雄市,2,韓國瑜張善政,男男,610896,0.3463470886584051,中國國民黨  推薦,2,1763826
高雄市,3,蔡英文賴清德,女男,1097621,0.6222955098745568,民主進步黨  推薦,3,1763826
新竹縣,1,宋楚瑜余湘,男女,18435,0.05671627097056046,親民黨  推薦,1,325039
新竹縣,2,韓國瑜張善政,男男,154224,0.4744784472017204,中國國民黨  推薦,2,325039
新竹縣,3,蔡英文賴清德,女男,152380,0.46880528182771913,民主進步黨  推薦,3,325039
苗栗縣,1,宋楚瑜余湘,男女,15222,0.0466073282078132,親民黨  推薦,1,326601
苗栗縣,2,韓國瑜張善政,男男,164345,0.5031980918613231,中國國民黨  推薦,2,326601
苗栗縣,3,蔡英文賴清德,女男,147034,0.45019457993086365,民主進步黨  推薦,3,326601
彰化縣,1,宋楚瑜余湘,男女,35060,0.04593628927546182,親民黨  推薦,1,763231
彰化縣,2,韓國瑜張善政,男男,291835,0.38236785455517397,中國國民黨  推薦,2,763231
彰化縣,3,蔡英文賴清德,女男,436336,0.5716958561693641,民主進步黨  推薦,3,763231
南投縣,1,宋楚瑜余湘,男女,13315,0.044509145852275764,親民黨  推薦,1,299152
南投縣,2,韓國瑜張善政,男男,133791,0.44723418195432424,中國國民黨  推薦,2,299152
南投縣,3,蔡英文賴清德,女男,152046,0.5082566721934,民主進步黨  推薦,3,299152
雲林縣,1,宋楚瑜余湘,男女,15331,0.03834782434690386,親民黨  推薦,1,399788
雲林縣,2,韓國瑜張善政,男男,138341,0.346035899026484,中國國民黨  推薦,2,399788
雲林縣,3,蔡英文賴清德,女男,246116,0.6156162766266121,民主進步黨  推薦,3,399788
