term,college,all,vote,competitive,void,college_population_total,college_population_rate,vote_rate,college_english,college_english_ab,concentration
103-2,文學院,3178,211,yes,4,32489,0.09781772292160423,0.06639395846444304,Liberal Arts,LA,first
103-2,理學院,3054,61,no,0,32489,0.09400104650804887,0.01997380484610347,Science,Sci,second
103-2,理學院,3054,61,no,0,32489,0.09400104650804887,0.01997380484610347,Science,Sci,third
103-2,社科院,3080,255,no,0,32489,0.09480131736895564,0.08279220779220779,Social Sciences,Soc Sci,first
103-2,醫學院,3355,190,no,0,32489,0.10326572070546955,0.05663189269746647,Medicine,Med,third
103-2,工學院,4879,136,no,0,32489,0.15017390501400474,0.027874564459930314,Engineering,Engr,second
103-2,生農學院,3844,152,no,0,32489,0.11831696882021607,0.03954214360041623,Bio & Agr,Bio & Agri,third
103-2,生農學院,3844,152,no,0,32489,0.11831696882021607,0.03954214360041623,Bio & Agr,Bio & Agri,first
103-2,生農學院,3844,152,no,0,32489,0.11831696882021607,0.03954214360041623,Bio & Agr,Bio & Agri,second
103-2,管理學院,3931,199,no,0,32489,0.12099479823940411,0.05062325108114984,Management,Mgmt,first
103-2,管理學院,3931,199,no,0,32489,0.12099479823940411,0.05062325108114984,Management,Mgmt,second
103-2,公衛學院,694,61,yes,0,32489,0.021361076056511434,0.08789625360230548,Public Health,PH,third
103-2,電資學院,3663,84,no,0,32489,0.11274585244236511,0.02293202293202293,EE & CS,EE & CS,second
103-2,法學院,1564,135,yes,0,32489,0.048139370248391766,0.08631713554987212,Law,Law,first
103-2,生科學院,1247,13,no,0,32489,0.03838222167502847,0.010425020048115477,Life Science,Life Sci,third
104-1,文學院,2951,154,yes,0,29467,0.1001459259510639,0.052185699762792276,Liberal Arts,LA,first
104-1,理學院,2881,92,no,0,29467,0.09777038721281434,0.03193335647344672,Science,Sci,second
104-1,理學院,2881,92,no,0,29467,0.09777038721281434,0.03193335647344672,Science,Sci,third
104-1,社科院,2832,294,yes,0,29467,0.09610751009603964,0.1038135593220339,Social Sciences,Soc Sci,first
104-1,醫學院,3263,376,no,0,29467,0.11073404147011912,0.11523138216365308,Medicine,Med,third
104-1,工學院,4651,146,no,0,29467,0.1578375810228391,0.0313910986884541,Engineering,Engr,second
104-1,生農學院,3677,205,no,0,29467,0.12478365629348084,0.055751971716072886,Bio & Agr,Bio & Agri,third
104-1,生農學院,3677,205,no,0,29467,0.12478365629348084,0.055751971716072886,Bio & Agr,Bio & Agri,first
104-1,生農學院,3677,205,no,0,29467,0.12478365629348084,0.055751971716072886,Bio & Agr,Bio & Agri,second
104-1,管理學院,3616,206,no,9,29467,0.12271354396443479,0.056969026548672565,Management,Mgmt,first
