start,end,college,name,elected,vote_support,vote_object,vote_invalid,college_population,college_population_total,college_population_rate,college_vote_population,college_vote_rate,college_support_vote,college_support_rate,competitive,college_vote_invalid,college_english,college_english_ab
103-2,104-1,文學院,黃申,1,28,NA,NA,3178,32489,0.09781772292160423,211,0.06639395846444304,207,0.13526570048309178,1,4,Liberal Arts,LA
103-2,104-1,文學院,樓彥成,1,16,NA,NA,3178,32489,0.09781772292160423,211,0.06639395846444304,207,0.07729468599033816,1,4,Liberal Arts,LA
103-2,104-1,文學院,周允梵,1,45,NA,NA,3178,32489,0.09781772292160423,211,0.06639395846444304,207,0.21739130434782608,1,4,Liberal Arts,LA
103-2,104-1,文學院,陳俊臣,1,39,NA,NA,3178,32489,0.09781772292160423,211,0.06639395846444304,207,0.18840579710144928,1,4,Liberal Arts,LA
103-2,104-1,文學院,翁毓聆,1,42,NA,NA,3178,32489,0.09781772292160423,211,0.06639395846444304,207,0.2028985507246377,1,4,Liberal Arts,LA
103-2,104-1,文學院,牛許時,1,14,NA,NA,3178,32489,0.09781772292160423,211,0.06639395846444304,207,0.06763285024154589,1,4,Liberal Arts,LA
103-2,104-1,文學院,翁金,NA,2,NA,NA,3178,32489,0.09781772292160423,211,0.06639395846444304,207,0.00966183574879227,1,4,Liberal Arts,LA
103-2,104-1,文學院,劉宇珺,1,21,NA,NA,3178,32489,0.09781772292160423,211,0.06639395846444304,207,0.10144927536231885,1,4,Liberal Arts,LA
103-2,104-1,理學院,張禎晏,1,43,4,14,3054,32489,0.09400104650804887,61,0.01997380484610347,79,0.5443037974683544,0,0,Science,Sci
103-2,104-1,理學院,黃泰源,1,36,6,19,3054,32489,0.09400104650804887,61,0.01997380484610347,79,0.45569620253164556,0,0,Science,Sci
103-2,104-1,社科院,呂謦煒,1,51,31,173,3080,32489,0.09480131736895564,255,0.08279220779220779,541,0.09426987060998152,0,0,Social Sciences,Soc Sci
103-2,104-1,社科院,汪天祥,1,71,27,157,3080,32489,0.09480131736895564,255,0.08279220779220779,541,0.13123844731977818,0,0,Social Sciences,Soc Sci
103-2,104-1,社科院,黃莉婷,1,121,16,118,3080,32489,0.09480131736895564,255,0.08279220779220779,541,0.22365988909426987,0,0,Social Sciences,Soc Sci
103-2,104-1,社科院,王立心,1,73,21,161,3080,32489,0.09480131736895564,255,0.08279220779220779,541,0.13493530499075784,0,0,Social Sciences,Soc Sci
103-2,104-1,社科院,楊凱翔,1,96,22,137,3080,32489,0.09480131736895564,255,0.08279220779220779,541,0.17744916820702403,0,0,Social Sciences,Soc Sci
103-2,104-1,社科院,連翊婷,1,129,13,113,3080,32489,0.09480131736895564,255,0.08279220779220779,541,0.23844731977818853,0,0,Social Sciences,Soc Sci
103-2,104-1,醫學院,陳一雄,1,127,12,51,3355,32489,0.10326572070546955,190,0.05663189269746647,401,0.3167082294264339,0,0,Medicine,Med
103-2,104-1,醫學院,趙宣凱,1,133,12,45,3355,32489,0.10326572070546955,190,0.05663189269746647,401,0.3316708229426434,0,0,Medicine,Med
103-2,104-1,醫學院,張閔喬,1,141,11,38,3355,32489,0.10326572070546955,190,0.05663189269746647,401,0.3516209476309227,0,0,Medicine,Med
103-2,104-1,工學院,黃冠博,1,34,14,88,4879,32489,0.15017390501400474,136,0.027874564459930314,222,0.15315315315315314,0,0,Engineering,Engr
103-2,104-1,工學院,周振涵,1,30,9,97,4879,32489,0.15017390501400474,136,0.027874564459930314,222,0.13513513513513514,0,0,Engineering,Engr
103-2,104-1,工學院,林煥鈞,1,48,8,80,4879,32489,0.15017390501400474,136,0.027874564459930314,222,0.21621621621621623,0,0,Engineering,Engr
103-2,104-1,工學院,黃泓睿,1,61,8,67,4879,32489,0.15017390501400474,136,0.027874564459930314,222,0.2747747747747748,0,0,Engineering,Engr
103-2,104-1,工學院,林宗穎,1,49,8,79,4879,32489,0.15017390501400474,136,0.027874564459930314,222,0.22072072072072071,0,0,Engineering,Engr
103-2,104-1,生農學院,林常棣,1,37,13,102,3844,32489,0.11831696882021607,152,0.03954214360041623,227,0.16299559471365638,0,0,Bio-Resources & Agriculture,Bio & Agri
103-2,104-1,生農學院,張永樑,1,63,8,81,3844,32489,0.11831696882021607,152,0.03954214360041623,227,0.2775330396475771,0,0,Bio-Resources & Agriculture,Bio & Agri
103-2,104-1,生農學院,廖廷軒,1,43,14,95,3844,32489,0.11831696882021607,152,0.03954214360041623,227,0.1894273127753304,0,0,Bio-Resources & Agriculture,Bio & Agri
